,ID,BoroCode,Borough,CD,CDName,TaxBlock,TaxLot,FacName,FacAddress,ZipCode,FacType,FT_Decode,FT_Report,FT_Map,GroupType,GroupType_Decode,NewGroupType,NewGroupType_Decode,NewSgroup,NewSgroup_Decode,NewFacType,NewFT_Decode,Sgroup,Sgroup_Decode,Capacity,CapType,CT_Decode,CT_Report,Acreage,PKtoG8,G9toG12,AgencyOper,NewAgencyOper_Decode,AgencyOper_Report,AgencyOver,NewAgencyOver_Decode,AgencyOver_Report,CT2010,Tract2010,CouncilDis,SchoolDist,PolicePrct,HealthArea,BBL,XCoord,YCoord,SvcArea,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
6411,15000Q478,4,QN,414,QUEENS COMMUNITY DISTRICT 14,15300,300,BROAD CHANNEL WETLANDS,Jamaica Bay west of Cross Bay Blvd. bet. E 1 Rd. and E. 10 Rd.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,37.95,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,37.95,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4153000300,1033512,162733,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
7086,15000X142,2,BX,208,BRONX COMMUNITY DISTRICT 8,5929,970,RIVERDALE PARK,"Hudson River, W 254 St, Palisade Av, W 2",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,144.29,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,144.29,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,2059290970,1006834,264665,L,40.7266,-74.007434,1,street_center,,Hudson St,New York,NY,New York County,10013
10484,15000XZ435,2,BX,205,BRONX COMMUNITY DISTRICT 5,NA,NA,GREENSTREET,Macombs Rd & Featherbed La,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.054,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.054,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1007164,247607,L,40.846398,-73.917028,1,intersection,,Featherbed Ln,Bronx,NY,Bronx County,10452
17319,4100DC19724,4,QN,408,QUEENS COMMUNITY DISTRICT 8,7115,30,PRESCHOOL OF AMERICA(USA)INC,186-01 73 Ave,11366,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,189,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,1347,1347,23,26,107,2130,4071150030,1044030,206493,L,40.73271441,-73.78485471,1,rooftop,186-001,73rd Ave,Fresh Meadows,NY,Queens County,11365
9341,15000QZ521,4,QN,413,QUEENS COMMUNITY DISTRICT 13,NA,NA,GREENSTREET,Springfield Bl & 115 Ave W Median,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.023,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.023,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1055894,194744,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
651,1.03E+13,1,MN,103,MANHATTAN COMMUNITY DISTRICT 3,288,15,PS 134 HENRIETTA SZOLD,293 E Broadway,10002,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,313,1,Day Care or Head Start Center Capacity,Children,NA,313,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,2.02,202,1,1,7,8000,1002880015,988953,199534,L,40.7145756,-73.9837544,1,range_interpolation,293,E Broadway,New York,NY,New York County,10002
7027,15000B481,3,BK,304,BROOKLYN COMMUNITY DISTRICT 4,3370,26,MADISON SQUARE GARDEN ASSOCIATION,Madison St. bet. Wilson Ave. and Knickerbocker Ave.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,0.165,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.165,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,3033700026,1008396,192445,L,40.712699,-73.989325,1,street_center,,Madison St,New York,NY,New York County,10002
13500,327000001H9718,2,BX,205,BRONX COMMUNITY DISTRICT 5,2822,7501,THE BRONX CARE CENTER FOR PHYSICAL REHABILITATION,1775 Grand Concourse,10453,3203,Hospital Extension Clinic,Hospital Extension Clinic,Hospital Extension Clinic,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a05,Hospital Extension Clinic,42,Ambulatory Facilities and Programs,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,54,NYS Department of Health ,NYS DOH,227.01,22701,14,9,46,2310,2028227501,1009040,247682,L,40.84634454,-73.91002911,1,rooftop,1775,Grand Concourse,Bronx,NY,Bronx County,10453
6216,15000Q392,4,QN,413,QUEENS COMMUNITY DISTRICT 13,13714,55,IDLEWILD PARK,"149 Ave., Rockaway Blvd., Jamaica Bay bet. James Brown Pl. and Brookville Blvd.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,180.85,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,180.85,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4137140055,1051911,178835,L,40.727391,-73.98256144,1,range_interpolation,149,Ave A,New York,NY,New York County,10009
15150,360000464CC,3,BK,312,BROOKLYN COMMUNITY DISTRICT 12,5349,1,KADIMAH PSYCHOSOCIAL CLUB,3601 14 Ave,11218,3624,Psychosocial Club - Mental Health,Psychosocial Club - Mental Health,Psychosocial Club,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4f,Mental Health Facilities - Outpatient,4f15,Psychosocial Club,62,Mental Health Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,228,228,39,15,66,6900,3053490001,989188,172609,L,40.64434,-73.978411,0.22,place,,,Brooklyn,NY,Kings County,11218
11408,15000RZ163,5,SI,501,STATEN ISLAND COMMUNITY DISTRICT 1,NA,NA,GREENSTREET,Hylan Blvd and Narrows Rd N,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.01,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.01,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,962740,160363,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
11598,15000RZ111,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,NA,NA,GREENSTREET,Sussex Green bet Huguenot Ave and Russek Dr,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.019,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.019,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,928480,140032,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
4034,15000X051,2,BX,205,BRONX COMMUNITY DISTRICT 5,3232,200,UNIVERSITY WOODS,"Cedar Ave., Sedgwick Ave. bet. Hall of Fame Ter. and W. 180 St.",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,3.306,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,3.306,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,2032320200,1007463,252030,L,40.856015,-73.917217,1,street_center,,Cedar Ave,Bronx,NY,Bronx County,10453
18810,4100DC2225,1,MN,101,MANHATTAN COMMUNITY DISTRICT 1,143,4,THE WASHINGTON MARKET SCHOOL,55 Hudson St,10013,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,143,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,39,39,1,2,1,7700,1001430004,981669,200770,L,40.71780327,-74.0091412,1,rooftop,55,Hudson St,New York,NY,New York County,10013
398,1.03E+13,1,MN,112,MANHATTAN COMMUNITY DISTRICT 12,2226,41,WASHINGTON HEIGHTS ACADEMY,202 Sherman Ave,10034,1001,Elementary School - Public,Elementary School - Public,Elementary School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a01,Public Elementary School ,11,Public Elementary and Secondary Schools,425,1,Day Care or Head Start Center Capacity,Children,NA,425,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,293,293,10,6,34,110,1022260041,1005928,254626,L,40.86547408,-73.92132892,1,rooftop,202,Sherman Ave,New York,NY,New York County,10034
8017,15000R119,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,6426,65,BLUE HERON PARK,"Amboy Rd., Barclay Ave., Hylan Blvd. and Bertram Ave.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,217.45,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,217.45,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5064260065,935639,133737,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
16329,3762910800,3,BK,307,BROOKLYN COMMUNITY DISTRICT 7,5320,46,ASSN F/HELP OF RETARDED CHILD.,81 Ocean Pkwy,11218,3705,Community Residence/Freestanding Respite - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g05,Community Residence/Freestanding Respite,71,Developmental Disabilities Services - Residential,3,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,504,504,39,15,72,5310,3053200046,991353,175640,R,40.64861505,-73.97459012,1,rooftop,81,Ocean Pkwy,Brooklyn,NY,Kings County,11218
13361,327002137R6239,1,MN,103,MANHATTAN COMMUNITY DISTRICT 3,559,55,EAST 13TH STREET FAMILY PRACTICE,113 E 13 St,10003,3202,Diagnostic and Treatment Center Extension Clinic,Diagnostic and Treatment Center Extension Clinic,Diagnostic and Trtmnt Ctr Ext Clinic,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a04,Diagnostic and Treatment Center Extension Clinic,42,Ambulatory Facilities and Programs,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,54,NYS Department of Health ,NYS DOH,42,42,2,1,9,6200,1005590055,987308,206472,L,40.73332519,-73.98901769,1,rooftop,113,E 13th St,New York,NY,New York County,10003
10271,15000QZ254,4,QN,403,QUEENS COMMUNITY DISTRICT 3,NA,NA,GREENSTREET,34 Ave bet 73 St & 74 St North Median,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.039,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.039,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1013920,213597,L,40.72340838,-73.98546038,1,range_interpolation,34,Ave A,New York,NY,New York County,10009
4672,15000R116,5,SI,501,STATEN ISLAND COMMUNITY DISTRICT 1,76,200,SNUG HARBOR CULTURAL CENTER,"Richmond Ter., Tysen St., Kissel Ave., Henderson Ave.",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,83.3,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,83.3,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5000760200,956003,173919,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
1244,1.03E+13,3,BK,305,BROOKLYN COMMUNITY DISTRICT 5,3788,1,FDNY HIGH SCHOOL-FIRE & LIFE SAFETY,400 Pennsylvania Ave,11207,1005,High School - Public,High School - Public,High School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a05,Public High School,11,Public Elementary and Secondary Schools,298,1,Day Care or Head Start Center Capacity,Children,NA,0,298,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,1156,1156,42,19,75,6100,3037880001,1013345,182251,R,40.6669092,-73.89480803,1,rooftop,400,Pennsylvania Ave,Brooklyn,NY,Kings County,11207
15158,366583505NL,1,MN,110,MANHATTAN COMMUNITY DISTRICT 10,1734,1,PSYCHOSOCIAL CLUB,15 W. 136 St,10037,3624,Psychosocial Club - Mental Health,Psychosocial Club - Mental Health,Psychosocial Club,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4f,Mental Health Facilities - Outpatient,4f15,Psychosocial Club,62,Mental Health Services - Non-Residential,5,6,Outpatient or Day Program Facility Capacity,Program Capacity,NA,NA,NA,91,Not For Profit,NFP,56,NYS Office of Mental Health ,NYS OMH,212,212,9,5,32,1300,1017340001,1001241,235977,L,40.81380013,-73.93777413,1,rooftop,15,W 136th St,New York,NY,New York County,10037
17128,4100DC10514,3,BK,301,BROOKLYN COMMUNITY DISTRICT 1,2418,31,"NUESTROS NINOS DAY CARE CENTER, INC",161 S 3 St,11211,4101,Group Day Care - Public,Group Day Care - Public,Group Day Care - Public,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b01,Group Day Care - Public,82,Daycare and Headstart Facilities,35,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,91,Not For Profit,NFP,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,551,551,34,14,90,400,3024180031,995016,198772,L,40.71217835,-73.96130424,1,rooftop,161,S 3rd St,Brooklyn,NY,Kings County,11211
11615,15000RZ15,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,NA,NA,GREENSTREET,Korean Veterans Pkwy Ex and Veterans Rd W,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.096,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.096,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,919027,131627,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
1373,1.03E+13,3,BK,303,BROOKLYN COMMUNITY DISTRICT 3,1823,38,BROOKLYN ACADEMY HIGH SCHOOL,832 Marcy Ave,11216,1005,High School - Public,High School - Public,High School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a05,Public High School,11,Public Elementary and Secondary Schools,149,1,Day Care or Head Start Center Capacity,Children,NA,0,149,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,249,249,36,13,79,2800,3018230038,998706,188718,R,40.6847094,-73.94727097,1,rooftop,832,Marcy Ave,Brooklyn,NY,Kings County,11216
19273,4100DC14909,1,MN,111,MANHATTAN COMMUNITY DISTRICT 11,1682,46,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",302-306 E 111 St,10029,4104,Head Start Center - Public,Head Start Center - Public,Head Start Ctr - Public,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b04,Head Start Center - Public,82,Daycare and Headstart Facilities,65,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,91,Not For Profit,NFP,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,180,180,8,4,23,2100,1016820046,1000959,228330,L,40.79375565,-73.9399619,1,range_interpolation,302-306,E 111th St,New York,NY,New York County,10029
7855,15000R150,5,SI,501,STATEN ISLAND COMMUNITY DISTRICT 1,1700,41,GRANITEVILLE QUARRY PARK,"Forest Ave. Wilcox Ave., bet.ween Van Name Ave. and Eunice Pl.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,4.465,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,4.465,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5017000041,941450,167179,L,40.819508,-73.905665,1,street_center,,Forest Ave,Bronx,NY,Bronx County,10456
16648,3885670940,2,BX,212,BRONX COMMUNITY DISTRICT 12,3395,19,"UNIQUE PEOPLE SERVICES, INC.",4234 Vireo Ave,10470,3805,Day Habilitation - Developmental Disability,Day Habilitation - Dev Disability,Outp Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4h,Developmental Disabilities Service Facilities - Outpatient,4h04,Day Habilitation,72,Mental Retardation and Developmental Disabilities Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,451.01,45101,11,11,47,510,2033950019,1021762,265954,L,40.8967329,-73.86441459,1,rooftop,4234,Vireo Ave,Bronx,NY,Bronx County,10470
14700,356566020,1,MN,106,MANHATTAN COMMUNITY DISTRICT 6,962,100,BELLEVUE HOSPITAL CENTER INPATIENT TREATMENT PROGRAM,462 First Ave,10016,3511,Hospital-Based Inpatient Care - Mental Health,Hospital Based Inpatient Care - Mental Health,Inp Mental Health Svc,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4e,Mental Health Facilities - Inpatient,4.00E+09,Hospital-Based Inpatient Care,61,Mental Health Services - Residential,330,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,56,NYS Office of Mental Health ,NYS OMH,62,62,4,2,13,6000,1009620100,991083,208423,R,40.73941,-73.9767,0.9,range_interpolation,462,1st Ave,New York,NY,New York County,10016
13776,327000212R5961,2,BX,203,BRONX COMMUNITY DISTRICT 3,2925,1,INTERMEDIATE SCHOOL 148,3630 Third Ave,10456,3206,School Based Health Center Extension Clinic,School Based Health Center Extension Clinic,Health Ctr Extension Clinic,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a08,School Based Health Center Extension Clinic,42,Ambulatory Facilities and Programs,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,54,NYS Department of Health ,NYS DOH,147.01,14701,16,9,42,2600,2029250001,1010829,242961,L,40.830529,-73.908655,0.22,place,,,Bronx,NY,Bronx County,10456
